Wispace Feature 
"Epic","Title","Description","End Date","Status","Note(s)","Role"
"0. General Information Pages","0.1. Trang chủ (Home page)","Mô tả: Trang chính sau khi đăng nhập, đóng vai trò trung tâm điều hướng (dashboard). Hiển thị: Onboarding Checklist (danh sách các bước cần hoàn thành), các module luyện tập chính (Writing Task 1, Writing Task 2, Virtual Exam), và truy cập nhanh đến các công cụ hỗ trợ.
Người dùng nhận được: Tổng quan trạng thái học tập, truy cập nhanh vào mọi tính năng từ một nơi duy nhất, và hướng dẫn từng bước cho người dùng mới.
","","Released","","For All"
"0. General Information Pages","0.2. Landing page","Mô tả: Trang giới thiệu tổng quan về sản phẩm Wispace, là nơi người dùng thấy đầu tiên khi truy cập website (nếu chưa đăng nhập). Trang hiển thị các giá trị cốt lõi, tính năng nổi bật, và nút kêu gọi đăng ký/đăng nhập. Hỗ trợ chuyển đổi ngôn ngữ (Tiếng Việt/English).
Người dùng nhận được: Cái nhìn tổng quan về sản phẩm, hiểu được giá trị mà Wispace mang lại trước khi quyết định đăng ký.
","","Released","","For All"
"1. Account Management","1.1. Đăng kí (Register)","Mô tả: Trang đăng ký tài khoản mới. Người dùng điền Họ tên, Email, Mật khẩu, và tùy chọn nhập Mã giáo viên (teacher code) 8 ký tự để liên kết với lớp học. Hỗ trợ đăng ký nhanh qua Google OAuth. Sau khi đăng ký, hệ thống gửi OTP xác thực email.
Người dùng nhận được: Tài khoản cá nhân trên hệ thống, có thể liên kết với giáo viên nếu đang theo lớp.
","","Released","",""
"1. Account Management","1.2. Đăng nhập/ Đăng xuất (Login/Logout)","Mô tả: Tính năng đăng nhập bằng email/mật khẩu hoặc Google OAuth. Sử dụng JWT token để xác thực phiên làm việc.
(Người dùng có thể đăng xuất ở trang hồ sơ người dùng)
Người dùng nhận được: Truy cập vào hệ thống và tất cả tính năng đã mua/được cấp quyền.
","","Released","","For All"
"1. Account Management","1.3. Hồ sơ người dùng (User profile)","Mô tả: Nơi người dùng có thể xem/ điều chỉnh thông tin của tài khoản người dùng","","Released","","For All"
"1. Account Management","1.4. Thay đổi mật khẩu (Change/Reset password)","Mô tả: Người dùng thay đổi mật khẩu hoặc tạo mới lại mật khẩu khi quên mật khẩu","","Released","","For All"
"2. IELTS Writing Task 1 ","2.1. Tạo câu hỏi Writing Task 1 (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.2. Trang viết bài Writing Task 1 (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.3. Hỗ trợ viết bài  (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.4. Tính năng ghi chú khi viết bài (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.5. Từ vựng và cụm từ thường gặp (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.6. Chấm điểm bài Writing Task 1 (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.7. Nhận xét và sửa lỗi bài Writing Task 1 (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.8. Làm lại bài Writing Task 1 (WT1)","","","Released","","For Learner, For Teacher"
"2. IELTS Writing Task 1 ","2.10. Chấm điểm bài viết có sẵn (WT1)","Mô tả: Công cụ chấm điểm bài viết độc lập — người dùng không cần đi qua quy trình tạo/chọn topic essay. Nhập trực tiếp: chọn loại task (Task 1/Task 2), chọn dạng đề, dán đề bài, và dán bài viết đã viết sẵn. AI sẽ chấm điểm và đưa ra phản hồi chi tiết giống như module Writing Practice.
Người dùng nhận được: Chấm điểm nhanh bất kỳ bài viết IELTS nào (ví dụ: bài làm ở lớp học, bài tự luyện offline) mà không cần viết lại trên nền tảng. Tiết kiệm thời gian khi chỉ cần đánh giá chất lượng bài viết.
","","Released","",""
"3. IELTS Writing Task 2 ","3.1. Tạo câu hỏi Writing Task 2 (WT2)","","","Released","","For Learner, For Teacher"
"3. IELTS Writing Task 2 ","3.2. Trang viết bài Writing Task 2 (WT2)","","","Released","","For Learner, For Teacher"
"3. IELTS Writing Task 2 ","3.3. Hỗ trợ viết bài  (WT2)","","","Released","","For Learner, For Teacher"
"3. IELTS Writing Task 2 ","3.4. Tính năng ghi chú khi viết bài (WT2)","","","Released","","For Learner, For Teacher"
"3. IELTS Writing Task 2 ","3.5. Từ vựng và cụm từ thường gặp (WT2)","","","Released","","For Learner, For Teacher"
"3. IELTS Writing Task 2 ","3.6. Chấm điểm bài Writing Task 2 (WT2)","","","Released","","For Learner, For Teacher"
"3. IELTS Writing Task 2 ","3.7. Nhận xét và sửa lỗi bài Writing Task 2 (WT2)","","","Released","","For Learner, For Teacher"
"3. IELTS Writing Task 2 ","3.8. Làm lại bài Writing Task 2 (WT2)","","","Released","","For Learner, For Teacher"
